ID,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
38,"(1314.0921020507812, 65.90493774414062)","(2253.7303466796875, 169.7390594482422)","(87.28813743591309, 587.9042663574219)","(1346.3656616210938, 143.5143051147461)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
39,"(1313.495849609375, 66.07881736755371)","(2253.8040771484375, 169.89892959594727)","(87.58500289916992, 587.5286254882812)","(1346.9545288085938, 143.11130905151367)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
40,"(1315.1066284179688, 65.92756652832031)","(1073.1748657226562, 344.85630798339844)","(2253.68310546875, 170.40715408325195)","(88.38869285583496, 588.0330200195312)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
41,"(1315.6373291015625, 65.65917015075684)","(1073.0137329101562, 344.6084747314453)","(2254.3619384765625, 170.04852676391602)","(88.54739379882812, 588.6369934082031)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
42,"(1315.2036743164062, 66.38641548156738)","(1072.4401245117188, 344.7044219970703)","(2254.3665771484375, 170.13299179077148)","(89.2375717163086, 587.5331420898438)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
43,"(1315.0076293945312, 66.45327186584473)","(1072.7899780273438, 344.3813018798828)","(2254.529052734375, 169.96309661865234)","(89.17473411560059, 587.9772338867188)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
44,"(1314.55419921875, 66.61647987365723)","(1072.695556640625, 344.0002746582031)","(2254.4298095703125, 169.69071197509766)","(88.38202285766602, 587.3662719726562)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
45,"(1314.5017700195312, 66.78591346740723)","(1073.1292114257812, 343.8523712158203)","(2254.3292236328125, 169.79664611816406)","(88.90095520019531, 588.3532104492188)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
46,"(1315.0449829101562, 66.53410530090332)","(1074.7899169921875, 343.39642333984375)","(2254.9208984375, 169.34288024902344)","(89.21792984008789, 588.0982360839844)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
47,"(1315.4030151367188, 66.07898139953613)","(1074.7969360351562, 343.43133544921875)","(2255.2269287109375, 169.14375686645508)","(89.39925575256348, 588.4865417480469)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
48,"(1315.5267944335938, 65.63349914550781)","(1075.527099609375, 343.2437438964844)","(2255.3983154296875, 168.98951721191406)","(89.29698181152344, 588.5232849121094)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
49,"(1315.8550415039062, 65.45125770568848)","(2255.2987060546875, 169.5317611694336)","(89.65696716308594, 588.4881591796875)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
50,"(1315.7300415039062, 65.35861778259277)","(2254.99267578125, 169.42826461791992)","(89.30501174926758, 588.5674743652344)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
51,"(1315.6492309570312, 65.07356071472168)","(1075.9005737304688, 342.8015441894531)","(2255.18798828125, 169.5608673095703)","(89.23612785339355, 588.8034057617188)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
