 0,"[1315.8790283203125, 64.7287769317627]","[2251.4678955078125, 172.2965202331543]","[85.91993522644043, 586.7882080078125]","[1299.4440307617188, 68.04606246948242]"
21,"[1258.46337890625, 314.4990997314453]","[1246.2483520507812, 554.967041015625]","[2268.68115234375, 147.7854881286621]","[87.96201133728027, 595.6176147460938]","[1062.0784301757812, 326.1136016845703]"
22,"[1261.3726806640625, 300.447509765625]","[2271.4410400390625, 152.69346618652344]","[87.34500122070312, 592.4918518066406]","[1239.3326416015625, 561.3469848632812]","[1064.9742431640625, 333.69960021972656]"
23,"[1252.2433471679688, 338.80335998535156]","[1243.9457397460938, 563.7152709960938]","[2264.0621337890625, 150.93215560913086]","[1064.1693725585938, 329.2763977050781]"
24,"[2266.135986328125, 150.8329620361328]","[84.61032104492188, 592.1637878417969]","[1246.05322265625, 562.3346557617188]"
25,"[1256.764892578125, 333.9784851074219]","[1242.9043579101562, 556.489990234375]","[2286.6688232421875, 153.96202850341797]","[87.37502670288086, 598.4183044433594]","[1066.0242919921875, 329.53465270996094]"
26,"[1255.5127563476562, 272.1076354980469]","[2294.3233642578125, 144.06940078735352]"
27,"[1252.3324584960938, 319.90806579589844]","[1071.671142578125, 317.27650451660156]","[2264.490478515625, 145.44384002685547]","[85.69458961486816, 593.9062805175781]"
28,"[1255.44677734375, 311.90171813964844]","[2247.4891357421875, 163.40398788452148]","[82.22271919250488, 593.7707824707031]","[1273.87841796875, 571.87841796875]"
29,"[1242.0066528320312, 289.3724822998047]","[1052.8865356445312, 333.3207550048828]","[2269.1278076171875, 152.83964920043945]","[87.85609245300293, 595.8369140625]","[1264.0075073242188, 558.1539001464844]"
30,"[1239.4876708984375, 264.78379821777344]","[2261.83642578125, 142.4293098449707]","[83.04620170593262, 593.0686340332031]","[1260.7171630859375, 549.0999145507812]"
31,"[1243.9346923828125, 561.3236083984375]","[2248.6893310546875, 129.70489883422852]","[1244.25732421875, 284.60267639160156]","[87.04435729980469, 595.3629760742188]","[1076.1105346679688, 314.9767608642578]"
32,"[1237.0294799804688, 561.1262817382812]","[2251.4239501953125, 140.95805740356445]","[1248.564208984375, 320.4165954589844]","[86.04021072387695, 593.3558044433594]"
33,"[1241.7267456054688, 292.9402160644531]","[1254.1240844726562, 557.3816223144531]","[2261.18603515625, 150.86294555664062]","[87.1620101928711, 596.6451110839844]","[1064.2796020507812, 329.71055603027344]"
34,"[1252.224853515625, 292.79942321777344]","[1208.245361328125, 345.4330596923828]","[2259.8946533203125, 145.52444458007812]"
35,"[1246.4156494140625, 289.41871643066406]","[1057.8983764648438, 322.98741149902344]","[1258.0485229492188, 551.0556945800781]","[2251.7218017578125, 143.73333740234375]","[87.47551918029785, 593.7186279296875]"
36,"[1257.0734252929688, 312.45542907714844]","[1047.0343017578125, 333.8354949951172]","[2251.1573486328125, 138.54469680786133]","[82.10058212280273, 592.7852478027344]","[309.37855529785156, 561.6648559570312]","[1265.3466186523438, 553.978271484375]"
37,"[1232.7438354492188, 272.6697006225586]","[1071.365966796875, 322.93797302246094]","[2255.3016357421875, 139.40953063964844]","[86.74349975585938, 594.5788269042969]","[1264.3201904296875, 554.1693420410156]"
38,"[1241.3556518554688, 261.9790267944336]","[1224.936767578125, 557.6073913574219]","[2257.836669921875, 142.8290023803711]","[87.39082336425781, 593.9476013183594]"
39,"[1250.5227661132812, 283.25482177734375]","[2251.740966796875, 147.76517486572266]","[87.20062828063965, 593.6661682128906]","[1267.4442138671875, 550.7691040039062]","[1065.8121337890625, 327.1812438964844]"
40,"[1227.3822631835938, 255.83607482910156]","[2251.8961181640625, 140.90791702270508]","[81.65476989746094, 595.0326538085938]","[1259.2763061523438, 545.9024658203125]"
41,"[1255.58642578125, 293.43592834472656]","[1249.1710815429688, 552.2895202636719]","[2257.6915283203125, 137.25794219970703]","[86.52334022521973, 593.5105285644531]","[1061.692138671875, 322.02061462402344]"
42,"[1242.2860107421875, 265.2076187133789]","[1245.7938232421875, 554.41015625]","[2259.0438232421875, 139.73646926879883]","[86.83467483520508, 591.0197448730469]","[1064.304443359375, 315.85015869140625]"
43,"[1251.7952880859375, 287.7000732421875]","[2256.9932861328125, 143.2781753540039]","[86.48380279541016, 590.6287536621094]","[1064.7056884765625, 317.2371368408203]","[1263.13720703125, 555.9714050292969]"
44,"[1252.729736328125, 300.2731018066406]","[1051.1212158203125, 333.3717956542969]","[1246.6417236328125, 554.5018920898438]","[2255.192138671875, 149.6195411682129]","[87.56532859802246, 593.8839721679688]"
45,"[1252.582275390625, 300.9952850341797]","[2260.2607421875, 144.47558975219727]","[87.22435188293457, 595.1927185058594]","[1264.295166015625, 556.4190063476562]","[1064.5463256835938, 319.19691467285156]"
46,"[1250.7498168945312, 279.8974151611328]","[1053.9991455078125, 322.43763732910156]","[1248.5303955078125, 552.6097412109375]","[2256.478759765625, 141.3820343017578]","[85.34691429138184, 594.7644348144531]"
47,"[1260.3740844726562, 327.09986877441406]","[1190.9305419921875, 360.40570068359375]","[2255.360595703125, 140.75375747680664]","[84.38266944885254, 592.01708984375]"
48,"[1247.5256958007812, 292.032958984375]","[1239.500732421875, 561.991455078125]","[2256.7930908203125, 145.48480987548828]","[87.6525650024414, 596.1910400390625]","[1063.5707397460938, 326.4739227294922]"
49,"[1252.9124755859375, 314.5335693359375]","[1245.5711059570312, 557.8132934570312]","[2259.220947265625, 148.87747192382812]","[85.91068840026855, 593.4136657714844]","[1270.0220336914062, 577.1414794921875]","[1066.32568359375, 321.1114501953125]"
50,"[1250.7647705078125, 325.2041931152344]","[1058.2390747070312, 329.0240783691406]","[1208.15673828125, 563.83154296875]","[2247.4814453125, 150.46108627319336]","[86.65038299560547, 594.5226135253906]"
51,"[1254.8645629882812, 336.2113037109375]","[1061.2994384765625, 332.84515380859375]","[1195.8632202148438, 365.1313781738281]","[2252.07568359375, 148.00747299194336]","[86.10207176208496, 594.5473022460938]","[1233.5233764648438, 566.8267822265625]"
52,"[1254.1427001953125, 332.41558837890625]","[2251.7989501953125, 147.47085189819336]","[1256.7373046875, 566.7595520019531]","[1058.4994506835938, 337.0988464355469]"
53,"[1244.1193237304688, 295.9034118652344]","[1060.1624450683594, 327.46368408203125]","[1231.4443969726562, 558.3296813964844]","[2253.1766357421875, 147.7687225341797]","[85.38034629821777, 594.8289489746094]"
54,"[1255.1465454101562, 326.832275390625]","[2252.6064453125, 145.5473518371582]","[87.93698120117188, 592.8377990722656]","[1259.4356689453125, 564.940673828125]","[1056.5076293945312, 331.6722412109375]"
55,"[1236.98193359375, 567.8373107910156]","[2250.1402587890625, 152.47446060180664]","[1258.8589477539062, 314.0359344482422]","[1065.0690307617188, 330.97120666503906]"
56,"[1216.2294311523438, 565.6612548828125]","[2252.1357421875, 145.67885971069336]","[1259.6236572265625, 350.3331756591797]","[87.43011093139648, 594.111083984375]","[1058.2830200195312, 332.2218933105469]"
57,"[1200.3864135742188, 366.3662872314453]","[2252.5428466796875, 145.52425384521484]","[1258.51171875, 339.8193054199219]","[85.81028175354004, 595.2140197753906]","[1247.159912109375, 567.0687255859375]","[1064.3650512695312, 336.6434326171875]"
58,"[1235.7832641601562, 561.5016174316406]","[2252.827880859375, 146.53672409057617]","[1255.3821411132812, 338.0787353515625]","[82.91923141479492, 593.9066467285156]","[1058.1553955078125, 331.35435485839844]"
59,"[1243.641845703125, 338.96014404296875]","[1064.2136840820312, 336.33204650878906]","[1216.6822509765625, 573.5439147949219]","[2253.3367919921875, 146.41630935668945]","[85.48053550720215, 595.1214904785156]"
60,"[1246.688720703125, 570.6883239746094]","[2250.9200439453125, 147.44103622436523]","[86.20770835876465, 593.542724609375]"
61,"[1250.5751342773438, 320.73199462890625]","[1068.2306518554688, 334.951904296875]","[1188.9964599609375, 364.1958770751953]","[2248.780029296875, 151.3603630065918]"
62,"[1253.1715698242188, 347.2980651855469]","[1307.9441528320312, 23.663172841072083]","[2246.715576171875, 152.17470169067383]","[86.7401351928711, 594.4552307128906]","[1259.328369140625, 567.8644104003906]"
63,"[1280.21630859375, 15.299637019634247]","[1070.6707153320312, 347.14019775390625]","[1233.8162231445312, 578.2967834472656]","[2246.6168212890625, 153.33672332763672]","[1258.5913696289062, 354.98834228515625]"
64,"[1282.1044311523438, 16.16044394671917]","[1229.29931640625, 579.0291748046875]","[2246.522705078125, 155.84139251708984]","[1321.0821533203125, 60.46961784362793]","[86.43436431884766, 594.880126953125]","[1247.8999633789062, 13.63630560040474]"
65,"[1304.2833251953125, 6.704906575381756]","[1235.64697265625, 575.8850402832031]","[2246.134765625, 153.95826721191406]","[1331.8346557617188, 83.92157745361328]","[87.70165061950684, 594.7667846679688]","[1282.4053344726562, 13.097525782883167]"
66,"[1322.0219116210938, 19.35078501701355]","[1234.9357299804688, 578.1229858398438]","[2246.4984130859375, 155.0878562927246]","[1346.0381469726562, 108.98677444458008]","[89.44011497497559, 594.1914672851562]","[1065.5389404296875, 345.73876953125]"
67,"[1308.2609252929688, 17.289454579353333]","[1232.7930297851562, 585.2156677246094]","[2245.28271484375, 152.39962768554688]","[1316.9365234375, 105.56059265136719]","[91.68952369689941, 598.2972717285156]","[1288.0408935546875, 19.300342917442322]"
68,"[1310.7169189453125, 57.50016975402832]","[1236.3853759765625, 584.7923583984375]","[2245.8062744140625, 150.17724990844727]","[92.94150924682617, 596.314453125]","[1079.8568725585938, 328.74281311035156]"
69,"[1301.7236328125, 59.338844299316406]","[1068.3763427734375, 271.3389358520508]","[2249.539794921875, 152.24972915649414]","[92.23335456848145, 597.0299377441406]","[1255.3548583984375, 361.3774871826172]"
70,"[1303.7167358398438, 69.7369441986084]","[2248.148681640625, 153.37315368652344]","[91.98847961425781, 596.2038269042969]","[1287.7053833007812, 71.21755599975586]"
71,"[1305.6839599609375, 58.19450378417969]","[2244.7220458984375, 157.0871124267578]","[92.5655689239502, 598.1441345214844]","[1061.7291870117188, 365.9051208496094]"
72,"[1305.155029296875, 60.722564697265625]","[1203.3235473632812, 384.5115203857422]","[2244.3525390625, 156.37848281860352]","[1310.1768188476562, 149.27025985717773]","[90.26931571960449, 597.0569458007812]","[1081.870849609375, 351.95855712890625]"
73,"[1307.1732177734375, 59.911001205444336]","[2248.862060546875, 153.52721405029297]","[1314.185302734375, 149.87527084350586]","[92.00260925292969, 596.7851257324219]","[1286.8856201171875, 65.0023021697998]","[1255.6550903320312, 375.38478088378906]"
74,"[1309.9669189453125, 60.00948905944824]","[2251.299072265625, 150.3775291442871]","[1317.4779052734375, 148.3745880126953]","[1259.4469604492188, 373.4621124267578]","[1078.73681640625, 358.26416015625]"
75,"[1309.5328979492188, 61.39665985107422]","[2249.785888671875, 155.60039520263672]","[1288.8009643554688, 64.61007499694824]"
76,"[1306.5347290039062, 58.09930992126465]","[96.04720306396484, 596.6824035644531]","[1259.5098876953125, 383.16065979003906]","[1083.5764770507812, 354.4821472167969]"
77,"[1314.4733276367188, 59.6457405090332]","[2248.39501953125, 169.43954849243164]","[1317.9288940429688, 144.2210350036621]","[99.27124786376953, 594.2134399414062]","[1291.6871948242188, 63.02411079406738]"
78,"[1308.9152221679688, 59.136661529541016]","[2259.28173828125, 162.78833389282227]","[98.12976455688477, 595.5324096679688]","[1087.6572265625, 353.03977966308594]"
79,"[1315.9188842773438, 62.80623245239258]","[2260.40380859375, 161.57805252075195]","[1321.9873046875, 151.49343872070312]","[101.83377075195312, 592.0739440917969]","[1291.3571166992188, 68.21973419189453]"
