ID,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
24,"(1551.161376953125, 598.0890502929688)","(1247.6895751953125, 357.7481231689453)","(1558.5211791992188, 212.89642333984375)","(863.081298828125, 681.0777893066406)","(840.8265991210938, 503.6954803466797)","(677.7672424316406, 370.04644775390625)","(654.3795776367188, 433.6983184814453)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
25,"(1551.3771362304688, 598.2416687011719)","(1246.9044189453125, 358.37171936035156)","(550.4511413574219, 398.0912628173828)","(1558.6213989257812, 212.64617156982422)","(864.5448303222656, 678.0508728027344)","(840.7665100097656, 503.46360778808594)","(677.8523864746094, 370.2607727050781)","(653.5387268066406, 434.7881622314453)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
26,"(1551.6056518554688, 598.5213012695312)","(1247.1469116210938, 357.6402587890625)","(549.1281433105469, 397.494873046875)","(1558.7274169921875, 212.4639129638672)","(861.8194274902344, 681.3406677246094)","(840.4459838867188, 502.6895446777344)","(677.3981628417969, 370.39454650878906)","(654.6092529296875, 435.49903869628906)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
27,"(1551.4411010742188, 598.4085388183594)","(1247.10205078125, 357.62351989746094)","(548.681884765625, 397.7919158935547)","(1558.5250854492188, 212.34757232666016)","(860.47216796875, 683.150146484375)","(840.4650268554688, 502.8828887939453)","(677.1845703125, 370.1661834716797)","(653.455810546875, 435.05303955078125)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
28,"(1551.643798828125, 597.9243774414062)","(1248.0511474609375, 356.64259338378906)","(548.2210388183594, 397.0278778076172)","(1558.690673828125, 212.31712341308594)","(861.7321472167969, 681.6458740234375)","(840.07958984375, 502.3404846191406)","(676.7685852050781, 369.4417724609375)","(651.6178283691406, 434.2474822998047)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
29,"(1550.9707641601562, 597.9516296386719)","(1246.3533325195312, 357.71083068847656)","(549.0418090820312, 397.96080017089844)","(1557.436767578125, 212.77462768554688)","(858.5293579101562, 685.4476928710938)","(840.4289855957031, 502.7154083251953)","(676.1882934570312, 369.6802978515625)","(649.9576416015625, 435.1216125488281)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
30,"(1551.4588012695312, 597.9786376953125)","(1248.349365234375, 356.80279541015625)","(548.6034240722656, 398.4964294433594)","(1559.7518920898438, 211.28813934326172)","(852.5875244140625, 692.6781311035156)","(675.5247192382812, 367.20399475097656)","(653.1257019042969, 436.1670379638672)","(898.9967346191406, 630.8435363769531)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
31,"(1551.585205078125, 597.8918762207031)","(1248.0911865234375, 356.7781677246094)","(548.5104064941406, 398.656005859375)","(1560.04541015625, 211.05697631835938)","(852.7302856445312, 692.4529418945312)","(675.9042663574219, 367.52284240722656)","(652.7240295410156, 436.13636779785156)","(898.9134521484375, 630.75830078125)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
32,"(1551.761962890625, 598.2992858886719)","(547.2550964355469, 397.9644775390625)","(1560.0142211914062, 210.49876403808594)","(854.5916137695312, 689.9987182617188)","(675.6578674316406, 367.84620666503906)","(653.5267028808594, 436.6459655761719)","(898.5954284667969, 630.4987487792969)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
33,"(1552.305908203125, 598.4194641113281)","(547.6378784179688, 399.1239471435547)","(1560.2926635742188, 210.76372528076172)","(853.1769409179688, 691.2128601074219)","(676.1586608886719, 368.28875732421875)","(653.3328552246094, 436.6309051513672)","(898.5998229980469, 630.4891967773438)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
34,"(1551.395751953125, 597.9023132324219)","(1251.5311279296875, 356.1402587890625)","(548.8827819824219, 398.5411376953125)","(1559.7618408203125, 211.90933227539062)","(854.2501831054688, 690.9401550292969)","(676.200927734375, 368.2028045654297)","(654.3700256347656, 437.4976806640625)","(898.6510314941406, 630.3326721191406)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
35,"(1551.4742431640625, 597.509033203125)","(1250.6648559570312, 355.8340148925781)","(548.5711059570312, 398.7445526123047)","(1559.4971313476562, 210.35687255859375)","(853.601806640625, 692.398681640625)","(675.828857421875, 369.1958312988281)","(654.4133911132812, 435.6136779785156)","(898.5947875976562, 630.6755981445312)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
