13,"[573.1249389648438, 413.4188995361328]","[597.7682189941406, 260.7488021850586]","[586.7698059082031, 831.3551330566406]","[805.1215515136719, 971.7446899414062]","[691.6865844726562, 886.1628723144531]","[941.9506530761719, 929.7229614257812]","[522.6315612792969, 977.3575744628906]","[570.4293823242188, 312.0639953613281]","[698.18310546875, 841.9877319335938]","[584.5498046875, 972.5666198730469]","[556.0363464355469, 261.6842956542969]","[691.038330078125, 775.3338317871094]","[587.7161865234375, 885.5677185058594]","[629.2842407226562, 834.7260437011719]"
14,"[572.6626892089844, 414.03602600097656]","[597.7709655761719, 259.5792999267578]","[586.5296020507812, 831.5766906738281]","[804.8949584960938, 972.0863037109375]","[691.0401611328125, 886.3266906738281]","[941.6624755859375, 930.1854248046875]","[522.5737762451172, 977.4039306640625]","[570.4944152832031, 311.7287292480469]","[697.4741821289062, 842.7973937988281]","[584.5274658203125, 972.5725708007812]","[556.1717224121094, 259.989013671875]","[690.2763061523438, 775.7378234863281]","[587.5249938964844, 885.6448059082031]","[629.3030090332031, 835.0412902832031]"
15,"[571.7774658203125, 413.51463317871094]","[598.2075500488281, 258.62091064453125]","[586.4921264648438, 831.6307067871094]","[804.8489379882812, 971.832763671875]","[691.0068664550781, 887.1597595214844]","[941.3587341308594, 930.5014038085938]","[522.7483367919922, 977.457275390625]","[570.6582336425781, 310.81028747558594]","[698.0709228515625, 843.8132934570312]","[584.6192626953125, 972.9885864257812]","[556.5005187988281, 259.15672302246094]","[689.5413513183594, 776.1658325195312]","[587.697509765625, 886.0954284667969]","[629.423828125, 835.323486328125]"
16,"[570.7899475097656, 413.2390594482422]","[598.51611328125, 257.24303436279297]","[586.4083251953125, 831.3805236816406]","[804.7063598632812, 971.6606140136719]","[690.8103942871094, 887.3578796386719]","[940.70751953125, 930.8452758789062]","[522.4855499267578, 977.0118713378906]","[570.8202514648438, 309.36936950683594]","[698.223388671875, 843.7307434082031]","[584.3875732421875, 972.4483032226562]","[556.974853515625, 257.6585998535156]","[688.8165283203125, 776.7450256347656]","[587.6319274902344, 885.4581298828125]","[629.3329467773438, 835.2057189941406]"
17,"[570.5462951660156, 412.6097717285156]","[599.9085388183594, 256.2333297729492]","[586.6579284667969, 830.9794921875]","[804.330810546875, 970.7690124511719]","[690.5107421875, 887.5225524902344]","[940.306640625, 930.1901550292969]","[522.3915252685547, 976.3043823242188]","[570.9442138671875, 307.84449768066406]","[698.0491943359375, 843.6612854003906]","[584.2807312011719, 971.5177612304688]","[557.8944091796875, 256.82410430908203]","[688.62939453125, 776.7481689453125]","[587.5910949707031, 885.1567993164062]","[629.2543334960938, 834.6637268066406]"
18,"[570.6710815429688, 412.59303283691406]","[600.9908752441406, 256.61900329589844]","[586.6831665039062, 830.893310546875]","[804.1380615234375, 971.1647338867188]","[690.3763427734375, 887.6129150390625]","[940.1955871582031, 930.2611999511719]","[522.5327453613281, 976.2460327148438]","[571.4154357910156, 306.8229675292969]","[697.5361022949219, 843.8016052246094]","[584.1419982910156, 971.4259033203125]","[558.5604553222656, 256.5119934082031]","[688.3767700195312, 777.2326965332031]","[587.6735229492188, 884.9028625488281]","[629.1357116699219, 834.6455993652344]"
19,"[570.4633483886719, 412.5147705078125]","[600.9655456542969, 256.2289505004883]","[586.4082946777344, 831.5413208007812]","[804.0856018066406, 972.40185546875]","[689.9553833007812, 888.7924194335938]","[939.9676513671875, 931.1002197265625]","[522.2544860839844, 976.9313049316406]","[571.7730407714844, 306.172119140625]","[696.6542358398438, 844.0653381347656]","[583.8184509277344, 972.5136108398438]","[559.9035339355469, 256.19854736328125]","[688.147216796875, 777.92724609375]","[587.5088806152344, 885.6653442382812]","[629.2185668945312, 835.2256469726562]"
20,"[571.8196411132812, 412.96678161621094]","[601.4772644042969, 255.31035614013672]","[585.6064147949219, 831.4591064453125]","[804.2094421386719, 972.8621215820312]","[689.2444763183594, 889.2930603027344]","[940.7856140136719, 929.8659973144531]","[522.3614349365234, 976.5808715820312]","[572.3418579101562, 305.61207580566406]","[696.7326049804688, 843.9751281738281]","[583.70556640625, 972.0249633789062]","[560.9245300292969, 255.7333984375]","[686.8597717285156, 777.7738647460938]","[586.8631591796875, 885.3992309570312]","[628.7880859375, 835.5986633300781]"
21,"[572.1468505859375, 413.3138122558594]","[602.7774658203125, 255.47350311279297]","[585.2265014648438, 831.5358276367188]","[803.7711181640625, 972.9755859375]","[689.3387756347656, 889.4420776367188]","[940.8438110351562, 930.215087890625]","[522.1866760253906, 976.6791687011719]","[573.1814575195312, 304.7078094482422]","[696.9880065917969, 843.5528259277344]","[583.6683959960938, 972.1068115234375]","[561.6158142089844, 255.60928344726562]","[686.7303161621094, 777.6300964355469]","[586.7062072753906, 885.5836486816406]","[628.6834411621094, 835.5744323730469]"
22,"[572.6470336914062, 413.1346740722656]","[602.8059997558594, 254.6006851196289]","[584.6652221679688, 831.3540344238281]","[803.2699890136719, 972.8992309570312]","[688.8828125, 888.802978515625]","[940.298583984375, 930.2264709472656]","[522.1869201660156, 976.2721252441406]","[573.1922607421875, 303.87489318847656]","[696.2615661621094, 842.7249145507812]","[583.5312194824219, 972.1062316894531]","[561.8687438964844, 255.06586456298828]","[686.6502685546875, 777.2850036621094]","[586.5519104003906, 886.0840759277344]","[628.3612976074219, 835.5124816894531]"
